country_code,country_name,capital,land_area_km2,continent
RWA,Rwanda,Kigali,26338,Africa
WSM,Samoa,Apia,2842,Oceania
SMR,San Marino,City of San Marino,61,Europe
STP,Sao Tome and Principe,São Tomé,964,Africa
SAU,Saudi Arabia,Riyadh,2149690,Asia
SEN,Senegal,Dakar,196722,Africa
SRB,Serbia,Belgrade,77589,Europe
SYC,Seychelles,Victoria,452,Africa
SLE,Sierra Leone,Freetown,71740,Africa
SGP,Singapore,Singapore,710,Asia
SVN,Slovenia,Ljubljana,20273,Europe
SLB,Solomon Islands,Honiara,28896,Oceania
SOM,Somalia,Mogadishu,637657,Africa
ZAF,South Africa,Pretoria,1221037,Africa
KOR,South Korea,Seoul,100210,Asia
SSD,South Sudan,Juba,619745,Africa
ESP,Spain,Madrid,505992,Europe
LKA,Sri Lanka,Sri Jayawardenepura Kotte,65610,Asia
KNA,St. Kitts and Nevis,Basseterre,261,North America
LCA,St. Lucia,Castries,616,North America
VCT,St. Vincent and the Grenadines,Kingstown,389,North America
SDN,Sudan,Khartoum,1886068,Africa
SUR,Suriname,Paramaribo,163820,South America
SWE,Sweden,Stockholm,450295,Europe
CHE,Switzerland,Bern,41284,Europe
SYR,Syria,Damascus,185180,Asia
TJK,Tajikistan,Dushanbe,143100,Asia
TZA,Tanzania,Dodoma,947303,Africa
THA,Thailand,Bangkok,513120,Asia
TLS,Timor-Leste,Dili,14874,Oceania
TGO,Togo,Lomé,56785,Africa
TON,Tonga,Nuku'alofa,747,Oceania
TTO,Trinidad and Tobago,Port of Spain,5130,North America
TUN,Tunisia,Tunis,163610,Africa
TUR,Turkiye,Ankara,783562,Asia
TKM,Turkmenistan,Ashgabat,488100,Asia
TCA,Turks and Caicos Islands,Cockburn Town,948,North America
TUV,Tuvalu,Funafuti,26,Oceania
UGA,Uganda,Kampala,241550,Africa
UKR,Ukraine,Kyiv,603550,Europe
ARE,United Arab Emirates,Abu Dhabi,83600,Asia
GBR,United Kingdom,London,244376,Europe
USA,United States,"Washington, D.C.",9525067,North America
URY,Uruguay,Montevideo,181034,South America
UZB,Uzbekistan,Tashkent,447400,Asia
VUT,Vanuatu,Port Vila,12189,Oceania
VEN,Venezuela,Caracas,916445,South America
VNM,Vietnam,Hanoi,331212,Asia
YEM,Yemen,Sana'a,527968,Asia
ZMB,Zambia,Lusaka,752612,Africa
ZWE,Zimbabwe,Harare,390757,Africa
